Name,Email,Age,City,Purchase_Amount
Steven,steven45@outlook.com,40,Seattle,211.44
Karen,karen46@yahoo.com,21,Phoenix,366.82
Diana,diana47@business.com,30,Austin,272.78
Henry,henry48@gmail.com,29,New York,236.69
Olivia,olivia49@company.com,69,Seattle,57.98
Henry,henry50@email.com,80,Los Angeles,463.92
Eve,eve51@mail.com,44,Phoenix,245.87
Bob,bob52@gmail.com,28,Boston,11.06
Tina,tina53@contact.com,77,Los Angeles,149.77
Steven,steven54@mail.com,27,Denver,155.39
Tina,tina55@outlook.com,65,New York,39.87
Charlie,charlie56@business.com,21,Boston,243.63
Henry,henry57@outlook.com,21,New York,49.25
Alice,alice58@mail.com,56,Austin,340.85
Bob,bob59@outlook.com,25,Boston,130.65
Bob,bob60@contact.com,44,Miami,286.96
Henry,henry61@email.com,31,Houston,126.96
Karen,karen62@mail.com,60,Phoenix,234.04
Ivy,ivy63@company.com,47,Houston,498.09
Karen,karen64@business.com,31,Boston,139.95
Olivia,olivia65@mail.com,74,New York,191.07
Diana,diana66@yahoo.com,71,Chicago,354.73
Diana,diana67@gmail.com,60,Miami,156.7
Mia,mia68@company.com,34,Boston,445.96
Noah,noah69@email.com,35,Seattle,306.37
Charlie,charlie70@gmail.com,61,New York,257.65
Olivia,olivia71@gmail.com,23,Seattle,416.38
Karen,karen72@contact.com,39,Seattle,322.19
Quinn,quinn73@outlook.com,65,Phoenix,280.32
Peter,peter74@mail.com,18,Austin,46.87
Frank,frank75@business.com,20,Boston,295.43
Diana,diana76@gmail.com,26,Miami,161.05
Bob,bob77@mail.com,31,Los Angeles,336.8
Eve,eve78@outlook.com,74,Chicago,487.18
Quinn,quinn79@mail.com,73,Chicago,488.34
Charlie,charlie80@mail.com,19,Seattle,370.92
Alice,alice81@company.com,69,Denver,140.73
Bob,bob82@contact.com,73,Austin,430.71
Peter,peter83@gmail.com,70,Chicago,181.33
Grace,grace84@gmail.com,19,Miami,205.25
Karen,karen85@email.com,79,Los Angeles,182.06
Diana,diana86@outlook.com,61,Denver,172.26
Quinn,quinn87@mail.com,74,Phoenix,97.5
Diana,diana88@email.com,24,Austin,179.39
Charlie,charlie89@business.com,56,Seattle,66.67
Alice,alice90@business.com,34,New York,357.3
Diana,diana91@gmail.com,77,Chicago,346.56
Diana,diana92@yahoo.com,45,Houston,474.95
Quinn,quinn93@outlook.com,60,Miami,362.68
Peter,peter94@email.com,37,Boston,169.83
Frank,frank95@contact.com,26,Chicago,216.02
Quinn,quinn96@mail.com,57,Miami,157.47
Charlie,charlie97@gmail.com,37,Seattle,112.99
Henry,henry98@company.com,47,Phoenix,226.66
Rachel,rachel99@email.com,48,Seattle,332.84
Bob,bob100@contact.com,60,Boston,55.76
Bob,bob101@company.com,32,Seattle,82.2
Olivia,olivia102@business.com,80,Houston,309.52
Jack,jack103@mail.com,44,Denver,105.27
Grace,grace104@mail.com,43,Austin,82.31
Leo,leo105@outlook.com,67,New York,117.23
Alice,alice106@contact.com,21,Los Angeles,132.11
Ivy,ivy107@email.com,26,Los Angeles,337.11
Eve,eve108@yahoo.com,78,Boston,310.2
Noah,noah109@yahoo.com,71,Chicago,228.5
Frank,frank110@mail.com,46,New York,378.37
Henry,henry111@company.com,49,Austin,144.55
Steven,steven112@yahoo.com,33,Boston,174.57
Grace,grace113@business.com,26,Denver,123.32
Mia,mia114@email.com,22,Austin,209.72
Leo,leo115@outlook.com,44,Seattle,111.35
Alice,alice116@business.com,75,Boston,473.57
Alice,alice117@company.com,42,Boston,12.89
Alice,alice118@company.com,66,Denver,428.19
Steven,steven119@email.com,65,Denver,401.94
Leo,leo120@contact.com,32,Denver,223.56
Tina,tina121@mail.com,39,Denver,364.85
Rachel,rachel122@business.com,80,Houston,23.21
Grace,grace123@company.com,60,Miami,51.13
Rachel,rachel124@business.com,73,Miami,99.05
Mia,mia125@gmail.com,38,Houston,232.8
Leo,leo126@gmail.com,35,Houston,133.61
Henry,henry127@company.com,19,Phoenix,35.52
Quinn,quinn128@company.com,59,New York,392.8
Charlie,charlie129@contact.com,78,Boston,107.69
Bob,bob130@gmail.com,33,Denver,242.04
Olivia,olivia131@company.com,78,Boston,237.87
Eve,eve132@company.com,28,Phoenix,391.12
Peter,peter133@business.com,24,Miami,22.58
Steven,steven134@company.com,61,Denver,204.36
Grace,grace135@company.com,55,Seattle,59.93
Rachel,rachel136@contact.com,68,Austin,393.49
Leo,leo137@company.com,45,Denver,43.79
Steven,steven138@yahoo.com,72,New York,412.94
Quinn,quinn139@contact.com,79,Los Angeles,321.44
Bob,bob140@yahoo.com,45,New York,369.56
Noah,noah141@email.com,67,New York,237.79
Jack,jack142@mail.com,72,Chicago,417.06
Rachel,rachel143@company.com,74,Houston,129.49
Leo,leo144@contact.com,57,Boston,174.83
Mia,mia145@yahoo.com,29,Denver,113.94
Jack,jack146@yahoo.com,35,Miami,282.34
Steven,steven147@contact.com,23,Phoenix,362.84
Alice,alice148@yahoo.com,66,Chicago,348.4
Frank,frank149@business.com,68,Miami,55.6
Noah,noah150@mail.com,62,Denver,160.04
Leo,leo151@company.com,48,Houston,270.15
Leo,leo152@contact.com,39,New York,354.4
Olivia,olivia153@company.com,34,Chicago,69.12
Olivia,olivia154@email.com,25,Seattle,475.93
Tina,tina155@gmail.com,31,Los Angeles,145.48
Olivia,olivia156@company.com,80,Miami,417.99
Grace,grace157@yahoo.com,41,Seattle,158.11
Noah,noah158@company.com,35,Houston,487.4
Noah,noah159@email.com,62,Denver,322.56
Frank,frank160@outlook.com,73,Miami,291.29
Bob,bob161@mail.com,46,Seattle,100.34
Frank,frank162@business.com,78,Denver,65.9
Noah,noah163@mail.com,49,Los Angeles,292.74
Jack,jack164@email.com,27,Chicago,475.07
Olivia,olivia165@mail.com,25,Chicago,384.58
Charlie,charlie166@email.com,42,Chicago,455.17
Ivy,ivy167@email.com,37,Phoenix,314.3
Diana,diana168@yahoo.com,58,Chicago,139.68
Grace,grace169@yahoo.com,33,Miami,280.48
Alice,alice170@business.com,44,Chicago,347.79
Charlie,charlie171@mail.com,20,Phoenix,151.17
Tina,tina172@yahoo.com,22,Denver,462.72
Frank,frank173@email.com,25,Miami,120.16
Frank,frank174@gmail.com,70,Los Angeles,44.99
Tina,tina175@business.com,56,Miami,461.38
Tina,tina176@email.com,47,Chicago,352.87
Rachel,rachel177@gmail.com,52,Los Angeles,224.5
Bob,bob178@mail.com,65,New York,305.82
Mia,mia179@company.com,32,Denver,297.69
Charlie,charlie180@contact.com,54,Chicago,383.92
Steven,steven181@company.com,51,Miami,458.88
Leo,leo182@email.com,45,Seattle,484.84
Charlie,charlie183@gmail.com,44,Chicago,167.32
Olivia,olivia184@yahoo.com,39,Houston,349.9
Karen,karen185@mail.com,70,Boston,27.98
Alice,alice186@mail.com,34,Chicago,66.8
Henry,henry187@business.com,70,Chicago,332.25
Leo,leo188@outlook.com,44,Los Angeles,101.92
Alice,alice189@mail.com,58,Miami,382.4
Quinn,quinn190@outlook.com,53,Denver,464.56
Rachel,rachel191@gmail.com,25,Austin,486.84
Karen,karen192@mail.com,37,Denver,16.7
Peter,peter193@email.com,32,Chicago,236.11
Alice,alice194@company.com,49,Seattle,259.35
Tina,tina195@outlook.com,71,Denver,490.32
Tina,tina196@contact.com,53,Boston,197.96
Alice,alice197@contact.com,73,Chicago,145.36
Jack,jack198@gmail.com,77,Austin,140.91
Frank,frank199@company.com,64,Los Angeles,420.36
Henry,henry200@outlook.com,73,Phoenix,228.81
Leo,leo201@outlook.com,39,New York,383.81
Mia,mia202@mail.com,77,Austin,436.1
Jack,jack203@company.com,42,Denver,429.45
Bob,bob204@yahoo.com,38,Denver,355.56
Alice,alice205@email.com,60,Los Angeles,252.71
Peter,peter206@outlook.com,50,Austin,436.15
Bob,bob207@mail.com,51,Miami,17.52
Peter,peter208@contact.com,73,Boston,46.67
Charlie,charlie209@business.com,57,Phoenix,328.42
Mia,mia210@mail.com,42,Denver,317.13
Tina,tina211@mail.com,20,New York,125.04
Ivy,ivy212@yahoo.com,65,Miami,222.65
Bob,bob213@business.com,46,New York,350.06
Tina,tina214@email.com,38,Phoenix,153.75
Henry,henry215@outlook.com,27,New York,270.27
Tina,tina216@gmail.com,28,Denver,48.69
Diana,diana217@business.com,49,Phoenix,80.13
Eve,eve218@gmail.com,47,Chicago,336.75
Mia,mia219@business.com,61,Austin,87.41
Eve,eve220@company.com,55,Chicago,323.08
Ivy,ivy221@gmail.com,47,Denver,107.62
Henry,henry222@business.com,24,Miami,196.87
Peter,peter223@yahoo.com,36,Phoenix,20.75
Karen,karen224@outlook.com,18,Austin,433.88
Alice,alice225@yahoo.com,71,Boston,390.11
Leo,leo226@yahoo.com,32,Austin,314.24
Alice,alice227@email.com,75,New York,161.38
Charlie,charlie228@mail.com,55,Seattle,368.86
Eve,eve229@mail.com,38,New York,96.06
Karen,karen230@gmail.com,74,Austin,270.12
Steven,steven231@gmail.com,34,Boston,484.02
Eve,eve232@business.com,69,Miami,239.48
Olivia,olivia233@gmail.com,66,Chicago,431.47
Noah,noah234@business.com,41,Phoenix,397.43
Ivy,ivy235@business.com,52,Houston,232.85
Quinn,quinn236@business.com,42,New York,63.09
Steven,steven237@business.com,19,Austin,170.72
Noah,noah238@yahoo.com,58,New York,455.6
Steven,steven239@mail.com,25,Boston,32.22
Quinn,quinn240@contact.com,49,Seattle,57.62
Alice,alice241@business.com,42,Austin,191.8
Grace,grace242@outlook.com,55,Boston,443.85
Charlie,charlie243@outlook.com,57,Miami,470.14
Mia,mia244@company.com,62,Denver,116.46
Karen,karen245@company.com,72,Chicago,58.68
Mia,mia246@company.com,75,Phoenix,39.67
Frank,frank247@mail.com,79,New York,475.02
Leo,leo248@company.com,60,Phoenix,324.44
Diana,diana249@contact.com,68,Houston,129.35
Rachel,rachel250@mail.com,31,New York,416.61
Peter,peter251@gmail.com,55,Chicago,408.4
Rachel,rachel252@gmail.com,67,Chicago,396.44
Frank,frank253@contact.com,72,Boston,493.89
Grace,grace254@yahoo.com,69,Seattle,63.86
Mia,mia255@business.com,18,Houston,397.09
Henry,henry256@contact.com,19,Boston,140.03
Tina,tina257@email.com,51,Chicago,375.38
Peter,peter258@email.com,67,Los Angeles,261.49
Diana,diana259@business.com,50,Houston,473.25
Ivy,ivy260@company.com,37,Denver,325.24
Diana,diana261@mail.com,48,Chicago,218.87
Bob,bob262@mail.com,63,Denver,46.01
Frank,frank263@company.com,56,Houston,42.18
Diana,diana264@email.com,53,Miami,196.64
Grace,grace265@company.com,47,Miami,306.66
Diana,diana266@outlook.com,72,Austin,363.21
Alice,alice267@gmail.com,46,Seattle,212.77
Ivy,ivy268@gmail.com,44,Phoenix,163.15
Alice,alice269@outlook.com,41,Chicago,346.54
Leo,leo270@yahoo.com,23,Phoenix,55.68
Rachel,rachel271@company.com,69,Boston,282.62
Karen,karen272@email.com,39,New York,211.3
Grace,grace273@yahoo.com,79,Austin,304.2
Alice,alice274@mail.com,54,Austin,114.24
Henry,henry275@company.com,72,Los Angeles,181.56
Tina,tina276@gmail.com,25,New York,291.31
Steven,steven277@mail.com,80,New York,22.86
Henry,henry278@company.com,29,Austin,354.32
Mia,mia279@contact.com,40,Chicago,98.89
Noah,noah280@contact.com,60,New York,44.1
Charlie,charlie281@company.com,65,Boston,115.42
Tina,tina282@yahoo.com,39,Chicago,191.33
Eve,eve283@outlook.com,56,Houston,442.84
Steven,steven284@outlook.com,66,Los Angeles,340.24
Rachel,rachel285@company.com,60,Denver,247.97
Frank,frank286@gmail.com,35,Los Angeles,379.92
Noah,noah287@outlook.com,45,Seattle,148.79
Quinn,quinn288@contact.com,60,Los Angeles,32.25
Jack,jack289@gmail.com,18,Denver,157.7
Mia,mia290@yahoo.com,66,Houston,151.83
Frank,frank291@contact.com,49,Los Angeles,96.09
Steven,steven292@outlook.com,63,Los Angeles,255.13
Frank,frank293@company.com,43,Boston,223.75
Bob,bob294@contact.com,73,Los Angeles,292.12
Olivia,olivia295@mail.com,63,Miami,151.86
Jack,jack296@outlook.com,79,Miami,94.22
Charlie,charlie297@business.com,23,Phoenix,423.8
Steven,steven298@mail.com,55,New York,266.74
Karen,karen299@company.com,65,Miami,118.57
Eve,eve300@mail.com,50,Houston,270.0
Rachel,rachel301@company.com,40,Chicago,125.77
Tina,tina302@mail.com,30,Miami,305.18
Olivia,olivia303@outlook.com,78,Los Angeles,237.34
Olivia,olivia304@outlook.com,46,Boston,325.07
Bob,bob305@contact.com,27,New York,43.46
Frank,frank306@mail.com,68,Chicago,299.8
Alice,alice307@contact.com,22,Miami,236.25
Rachel,rachel308@mail.com,41,Seattle,47.6
Eve,eve309@email.com,42,Seattle,294.36
Eve,eve310@yahoo.com,76,New York,329.4
Steven,steven311@email.com,50,Denver,479.28
Charlie,charlie312@company.com,69,Houston,491.37
Mia,mia313@yahoo.com,59,Houston,29.18
Quinn,quinn314@company.com,51,New York,308.8
Frank,frank315@company.com,76,Austin,199.83
Mia,mia316@company.com,68,Miami,42.3
Noah,noah317@email.com,61,Los Angeles,149.23
Henry,henry318@outlook.com,23,Houston,335.17
Quinn,quinn319@company.com,79,Chicago,73.19
Noah,noah320@outlook.com,53,Los Angeles,325.31
Mia,mia321@business.com,60,Denver,55.79
Henry,henry322@yahoo.com,41,Seattle,187.67
Jack,jack323@email.com,39,Miami,104.08
Bob,bob324@business.com,22,Miami,423.77
Henry,henry325@contact.com,67,Miami,419.21
Steven,steven326@business.com,60,Austin,439.43
Ivy,ivy327@company.com,27,Chicago,98.61
Tina,tina328@gmail.com,20,Los Angeles,188.51
Grace,grace329@business.com,57,Houston,378.67
Tina,tina330@contact.com,52,Austin,161.64
Alice,alice331@business.com,41,Denver,492.38
Frank,frank332@yahoo.com,67,Chicago,256.42
Rachel,rachel333@company.com,70,Denver,402.62
Diana,diana334@gmail.com,21,Phoenix,438.32
Peter,peter335@outlook.com,63,Boston,427.07
Diana,diana336@company.com,66,Denver,143.67
Leo,leo337@business.com,71,Miami,54.94
Olivia,olivia338@company.com,74,Miami,465.93
Jack,jack339@business.com,43,Denver,193.24
Karen,karen340@contact.com,41,Austin,23.81
Charlie,charlie341@email.com,68,Austin,77.42
Henry,henry342@contact.com,62,Phoenix,381.83
Alice,alice343@email.com,57,New York,453.87
Steven,steven344@mail.com,31,Boston,278.91
Alice,alice345@outlook.com,25,New York,126.44
Jack,jack346@yahoo.com,33,Austin,323.09
Quinn,quinn347@gmail.com,25,Houston,302.4
Noah,noah348@contact.com,54,Miami,362.09
Quinn,quinn349@contact.com,18,Chicago,127.88
Noah,noah350@contact.com,60,Miami,266.51
Steven,steven351@outlook.com,79,Seattle,276.6
Tina,tina352@email.com,19,Austin,437.93
Jack,jack353@gmail.com,80,Phoenix,134.29
Noah,noah354@company.com,68,Denver,178.95
Mia,mia355@contact.com,65,New York,75.37
Bob,bob356@email.com,39,Denver,416.89
Leo,leo357@mail.com,58,Houston,407.63
Jack,jack358@yahoo.com,20,New York,108.78
Ivy,ivy359@business.com,38,Miami,262.54
Mia,mia360@yahoo.com,34,Phoenix,379.11
Leo,leo361@yahoo.com,40,Seattle,434.24
Tina,tina362@contact.com,25,Houston,224.11
Tina,tina363@mail.com,75,Los Angeles,176.13
Charlie,charlie364@gmail.com,62,Denver,190.0
Diana,diana365@outlook.com,69,Austin,366.27
Bob,bob366@yahoo.com,56,Austin,277.28
Rachel,rachel367@outlook.com,23,Los Angeles,333.85
Henry,henry368@yahoo.com,56,Chicago,91.66
Jack,jack369@contact.com,46,Boston,366.14
Charlie,charlie370@outlook.com,35,Seattle,46.77
Leo,leo371@gmail.com,50,Seattle,476.87
Mia,mia372@yahoo.com,20,Denver,42.94
Karen,karen373@business.com,42,Los Angeles,25.87
Olivia,olivia374@yahoo.com,78,Austin,192.29
Rachel,rachel375@contact.com,26,Phoenix,189.81
Diana,diana376@outlook.com,33,Chicago,22.7
Bob,bob377@email.com,51,Chicago,457.64
Bob,bob378@gmail.com,67,Houston,354.98
Tina,tina379@gmail.com,62,Miami,108.09
Rachel,rachel380@contact.com,46,Houston,450.35
Leo,leo381@company.com,69,Phoenix,337.24
Mia,mia382@email.com,52,Phoenix,446.75
Charlie,charlie383@mail.com,68,New York,259.29
Ivy,ivy384@company.com,68,Phoenix,126.0
Leo,leo385@business.com,41,Phoenix,290.42
Rachel,rachel386@yahoo.com,26,Boston,42.22
Peter,peter387@mail.com,51,Los Angeles,386.89
Rachel,rachel388@contact.com,26,Austin,324.75
Bob,bob389@outlook.com,61,Austin,178.81
Jack,jack390@mail.com,67,Phoenix,221.98
Noah,noah391@email.com,51,Houston,159.02
Leo,leo392@mail.com,77,Los Angeles,179.55
Charlie,charlie393@business.com,72,Los Angeles,132.8
Ivy,ivy394@outlook.com,26,New York,311.07
Leo,leo395@business.com,59,Miami,299.99
Jack,jack396@company.com,28,Los Angeles,422.84
Olivia,olivia397@mail.com,70,Denver,49.8
Bob,bob398@email.com,59,Los Angeles,385.81
Noah,noah399@email.com,49,Seattle,151.94
Steven,steven400@business.com,33,Los Angeles,155.74
Jack,jack401@outlook.com,28,New York,213.65
Leo,leo402@yahoo.com,39,Phoenix,163.17
Noah,noah403@company.com,80,Boston,74.08
Steven,steven404@email.com,53,Seattle,166.37
Peter,peter405@outlook.com,35,New York,131.48
Steven,steven406@contact.com,36,Boston,433.44
Quinn,quinn407@mail.com,79,Seattle,408.6
Diana,diana408@gmail.com,30,Boston,254.15
Olivia,olivia409@mail.com,49,Los Angeles,253.71
Eve,eve410@business.com,50,Boston,483.68
Alice,alice411@outlook.com,40,Austin,34.76
Noah,noah412@company.com,36,Austin,14.01
Alice,alice413@outlook.com,26,Los Angeles,366.48
Frank,frank414@business.com,20,New York,35.07
Karen,karen415@email.com,41,Houston,151.41
Leo,leo416@gmail.com,46,Boston,147.06
Diana,diana417@contact.com,80,Denver,203.01
Olivia,olivia418@email.com,78,Denver,379.93
Henry,henry419@outlook.com,43,Phoenix,29.72
Tina,tina420@gmail.com,63,Chicago,403.94
Diana,diana421@contact.com,27,Miami,78.49
Mia,mia422@mail.com,43,Chicago,300.93
Steven,steven423@company.com,52,Houston,357.28
Noah,noah424@mail.com,70,Phoenix,190.5
Eve,eve425@business.com,55,New York,400.41
Olivia,olivia426@company.com,34,Phoenix,293.04
Frank,frank427@company.com,48,Austin,266.87
Steven,steven428@email.com,70,Boston,25.47
Frank,frank429@email.com,19,Houston,163.71
Karen,karen430@business.com,62,Seattle,211.08
Frank,frank431@contact.com,63,Chicago,264.15
Ivy,ivy432@yahoo.com,60,Austin,267.48
Charlie,charlie433@outlook.com,47,Los Angeles,177.74
Frank,frank434@business.com,57,Los Angeles,104.21
Eve,eve435@company.com,53,Los Angeles,120.18
Jack,jack436@contact.com,63,Phoenix,348.22
Bob,bob437@yahoo.com,48,Phoenix,284.64
Alice,alice438@business.com,25,Phoenix,341.54
Rachel,rachel439@gmail.com,70,Boston,477.76
Tina,tina440@outlook.com,20,Austin,478.1
Bob,bob441@business.com,77,Miami,331.43
Bob,bob442@email.com,30,Houston,142.86
Leo,leo443@mail.com,26,Houston,311.68
Karen,karen444@gmail.com,21,Seattle,120.58
Quinn,quinn445@company.com,24,Boston,171.84
Henry,henry446@business.com,61,Los Angeles,12.54
Henry,henry447@company.com,44,Phoenix,243.95
Ivy,ivy448@mail.com,38,Phoenix,326.49
Diana,diana449@contact.com,32,Miami,371.96
Quinn,quinn450@email.com,44,New York,467.62
Olivia,olivia451@business.com,68,Phoenix,101.29
Mia,mia452@mail.com,18,Los Angeles,288.3
Tina,tina453@email.com,36,New York,494.66
Mia,mia454@yahoo.com,49,Phoenix,427.02
Steven,steven455@email.com,30,New York,172.04
Tina,tina456@email.com,63,Los Angeles,16.9
Karen,karen457@mail.com,54,Miami,95.99
Karen,karen458@company.com,50,Los Angeles,52.5
Peter,peter459@outlook.com,80,Seattle,243.95
Ivy,ivy460@business.com,34,Miami,125.41
Grace,grace461@company.com,37,Chicago,364.21
Diana,diana462@contact.com,59,Boston,349.46
Henry,henry463@outlook.com,47,Denver,88.26
Jack,jack464@mail.com,62,New York,322.97
Eve,eve465@gmail.com,57,Chicago,117.37
Noah,noah466@company.com,27,Los Angeles,376.39
Frank,frank467@company.com,62,Phoenix,457.27
Alice,alice468@contact.com,66,Boston,343.37
Henry,henry469@mail.com,46,Los Angeles,354.85
Tina,tina470@company.com,25,Boston,416.1
Peter,peter471@email.com,54,Austin,83.43
Leo,leo472@yahoo.com,46,Denver,343.34
Olivia,olivia473@yahoo.com,23,Miami,228.29
Noah,noah474@gmail.com,26,Los Angeles,213.56
Olivia,olivia475@email.com,53,Boston,339.66
Leo,leo476@mail.com,43,Los Angeles,410.06
Grace,grace477@gmail.com,22,Chicago,217.61
Karen,karen478@mail.com,21,Los Angeles,493.21
Grace,grace479@gmail.com,36,Seattle,98.19
Rachel,rachel480@mail.com,41,Houston,229.78
Noah,noah481@yahoo.com,23,Phoenix,75.17
Mia,mia482@outlook.com,29,New York,202.6
Alice,alice483@gmail.com,71,Seattle,380.53
Leo,leo484@mail.com,61,Miami,217.82
Quinn,quinn485@email.com,33,Houston,179.62
Eve,eve486@outlook.com,77,Los Angeles,25.79
Steven,steven487@gmail.com,33,Chicago,42.97
Ivy,ivy488@outlook.com,56,Austin,129.92
Karen,karen489@contact.com,46,Austin,274.48
Peter,peter490@email.com,50,Chicago,124.74
Tina,tina491@business.com,54,Boston,126.08
Noah,noah492@company.com,32,Boston,157.25
Eve,eve493@mail.com,78,Denver,316.74
Olivia,olivia494@outlook.com,49,Boston,486.42
Alice,alice495@outlook.com,38,Chicago,210.05
Olivia,olivia496@outlook.com,29,Los Angeles,242.02
Bob,bob497@contact.com,72,Miami,404.83
Steven,steven498@contact.com,44,Houston,283.07
Olivia,olivia499@company.com,33,Chicago,109.63
Bob,bob500@yahoo.com,72,Austin,55.31
Karen,karen501@yahoo.com,35,Chicago,340.1
Alice,alice502@business.com,30,Phoenix,116.34
Henry,henry503@yahoo.com,37,Los Angeles,113.79
Jack,jack504@gmail.com,65,New York,458.08
Steven,steven505@mail.com,76,New York,280.52
Tina,tina506@company.com,47,Chicago,327.87
Leo,leo507@contact.com,41,New York,442.58
Olivia,olivia508@yahoo.com,69,Los Angeles,383.2
Peter,peter509@gmail.com,41,New York,212.83
Mia,mia510@business.com,65,Denver,17.95
Noah,noah511@mail.com,55,Miami,154.64
Bob,bob512@company.com,32,Seattle,289.2
Diana,diana513@email.com,53,Los Angeles,136.09
Alice,alice514@mail.com,47,Phoenix,369.06
Bob,bob515@outlook.com,26,Austin,249.27
Karen,karen516@gmail.com,51,Austin,421.14
Mia,mia517@company.com,66,Houston,212.07
Noah,noah518@company.com,63,Austin,14.48
Peter,peter519@business.com,41,Houston,312.74
Jack,jack520@contact.com,19,Houston,270.78
Charlie,charlie521@gmail.com,19,Phoenix,363.87
Rachel,rachel522@company.com,19,Denver,408.45
Bob,bob523@contact.com,24,Seattle,266.95
Noah,noah524@yahoo.com,57,Denver,133.68
Frank,frank525@company.com,68,Chicago,48.72
Leo,leo526@mail.com,54,Denver,495.21
Charlie,charlie527@email.com,61,Miami,330.33
Eve,eve528@contact.com,43,Boston,194.81
Olivia,olivia529@outlook.com,58,Austin,354.39
Jack,jack530@contact.com,72,Denver,326.0
Steven,steven531@email.com,80,Miami,448.45
Henry,henry532@email.com,31,New York,243.0
Peter,peter533@gmail.com,61,Phoenix,450.66
Olivia,olivia534@company.com,29,Phoenix,17.67
Eve,eve535@contact.com,66,Miami,465.15
Mia,mia536@mail.com,54,Chicago,287.68
Quinn,quinn537@company.com,39,Boston,380.25
Grace,grace538@gmail.com,50,Denver,36.31
Peter,peter539@company.com,71,Miami,176.89
Mia,mia540@mail.com,19,Austin,393.94
Charlie,charlie541@mail.com,32,Denver,280.99
Ivy,ivy542@mail.com,29,Austin,333.73
Peter,peter543@mail.com,69,Phoenix,359.42
Ivy,ivy544@mail.com,27,Denver,358.72
Peter,peter545@business.com,38,Denver,62.21
Karen,karen546@contact.com,46,Seattle,383.06
Jack,jack547@contact.com,23,Houston,221.18
Alice,alice548@gmail.com,50,Miami,60.61
Diana,diana549@mail.com,53,New York,302.49
Eve,eve550@mail.com,18,Seattle,212.77
Noah,noah551@yahoo.com,75,Seattle,290.26
Henry,henry552@company.com,28,Phoenix,141.77
Jack,jack553@yahoo.com,27,Austin,91.93
Frank,frank554@email.com,37,Los Angeles,393.51
Tina,tina555@company.com,78,Miami,363.24
Peter,peter556@gmail.com,47,Austin,76.39
Noah,noah557@outlook.com,39,Denver,404.0
Olivia,olivia558@business.com,39,Los Angeles,409.58
Steven,steven559@contact.com,38,Los Angeles,244.71
Diana,diana560@contact.com,79,Houston,152.81
Frank,frank561@company.com,68,Boston,169.68
Olivia,olivia562@mail.com,41,Houston,466.71
Jack,jack563@business.com,29,Boston,23.19
Frank,frank564@business.com,46,Boston,417.33
Bob,bob565@business.com,61,Chicago,78.2
Alice,alice566@contact.com,34,Miami,360.47
Mia,mia567@contact.com,46,Los Angeles,295.3
Olivia,olivia568@business.com,77,Boston,276.39
Quinn,quinn569@company.com,56,Phoenix,63.59
Ivy,ivy570@contact.com,28,New York,285.98
Steven,steven571@contact.com,79,Los Angeles,61.91
Bob,bob572@yahoo.com,32,Miami,375.96
Charlie,charlie573@mail.com,62,Denver,118.31
Grace,grace574@yahoo.com,47,Phoenix,83.87
Karen,karen575@mail.com,24,Miami,213.83
Peter,peter576@business.com,71,New York,180.68
Charlie,charlie577@mail.com,68,Houston,265.35
